Sec,Ah,V,A,S,D,Deg,RPM,HW,Nm,ThI,ThO,Acc,Lim
23.19,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
23.4,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
23.61,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
23.83,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
24.03,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
24.25,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
24.45,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
24.65,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
24.86,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
25.07,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
25.28,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
25.48,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
25.69,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
25.9,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
26.11,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
26.31,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
26.52,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
26.73,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
26.93,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
27.14,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
27.34,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
